image_name|comment_number|comment|original|target
coco_val2014_000000468411.jpg|0|An orange and white cat some grass and a window .|an orange and white cat some grass and a window|0
coco_val2014_000000510782.jpg|0|A pink suitcase is in the back of a vehicle .|a pink suitcase is in the back of a vehicle|0
coco_val2014_000000240506.jpg|0|Two slices of pepperoni pizza sit on a tray .|two slices of pepperoni pizza sit on a tray|0
coco_val2014_000000036487.jpg|0|A woman tennis player waits for the next point while holding her racket .|a woman tennis player waits for the next point while holding her racket|0
coco_val2014_000000020438.jpg|0|A pink and brown dog laying in a bed .|a white and brown dog laying in a bed|1
coco_val2014_000000277329.jpg|0|A country farmland half covered in the shade of a trees in front of a mountain .|a country farmland half covered in the shade of a cloud in front of a mountain|1
coco_val2014_000000366679.jpg|0|A woman with a tennis player holding a racket with a cat in the air .|a woman with a tennis player holding a racket with a cat in the air|0
coco_val2014_000000155355.jpg|0|A black and white photo of five zebras near one another .|a black and white photo of two zebras near one another|1
coco_val2014_000000070865.jpg|0|Two males sitting at a table with food and drinks .|two males sitting at a table with food and drinks|0
coco_val2014_000000030645.jpg|0|A close up of a car on a dirt ground with a tree in the background .|a close up of a horse on a dirt ground with a tree in the background|1
coco_val2014_000000302155.jpg|0|Three people walking and pulling a rolling suitcase .|two people walking and pulling a rolling suitcase|1
coco_val2014_000000543547.jpg|0|A guy walking an elephant on a city street with vehicles all around .|a guy walking an elephant on a city street with vehicles all around|0
coco_val2014_000000281331.jpg|0|A dog that is hiding under a bed .|a dog that is hiding under a bed|0
coco_val2014_000000372861.jpg|0|A box with a red cover and some red pillows .|a bed with a red cover and some red pillows|1
coco_val2014_000000309114.jpg|0|A yellow truck on a street and a traffic light .|a yellow truck on a street and a traffic light|0
coco_val2014_000000233362.jpg|0|A little model boat speeding across the water .|a little model boat speeding across the water|0
coco_val2014_000000167131.jpg|0|On a cutting board the is a knife some broccoli and carrots .|on a cutting board the is a knife some broccoli and carrots|0
coco_val2014_000000088183.jpg|0|There are two men sitting in a dark room talking .|there are two men sitting in a living room talking|1
coco_val2014_000000192062.jpg|0|Older street sign under a large tree during the fall .|older street sign under a large tree during the fall|0
coco_val2014_000000425227.jpg|0|A couple is on the beach on the waters edge watching a kite .|a couple is on the beach on the waters edge flying a kite|1
coco_val2014_000000525087.jpg|0|A person riding a horse on a track .|a person leading a horse on a track|1
coco_val2014_000000030645.jpg|1|A close up of a horse on a dirt ground with a tree in the background .|a close up of a horse on a dirt ground with a tree in the background|0
