image_name|comment_number|comment|original|target
coco_val2014_000000359945.jpg|0|A gun that is sitting on top of a knife .|a apple that is sitting on top of a knife|1
coco_val2014_000000458387.jpg|0|A house that is out on the water .|a boat that is out on the water|1
coco_val2014_000000206878.jpg|0|A close up view of two doughnuts sprinkled with sugar .|a close up view of three doughnuts sprinkled with sugar|1
coco_val2014_000000276192.jpg|0|A close up of a knife on a pan on a table .|a close up of a pizza on a pan on a table|1
coco_val2014_000000053952.jpg|0|A group of women eating food in a kitchen .|a group of people eating food in a kitchen|1
coco_val2014_000000018462.jpg|0|A woman waiting for a bus at a stop on a corner .|a man waiting for a bus at a stop on a corner|1
coco_val2014_000000230661.jpg|0|An orange fire truck on a city street .|an orange business truck on a city street|1
coco_val2014_000000513096.jpg|0|A couple of girls are in front of a table .|a couple of men are in front of a table|1
coco_val2014_000000248087.jpg|0|A green flag with peoples belongings on top .|a green bus with peoples belongings on top|1
coco_val2014_000000464633.jpg|0|A black horse eating grass in front of a wooden fence .|a large horse eating grass in front of a wooden fence|1
coco_val2014_000000496680.jpg|0|A big blue van that is parked next to some cars .|a big blue bus that is parked next to some cars|1
coco_val2014_000000339253.jpg|0|A women that is carrying a green kite .|a women that is flying a green kite|1
coco_val2014_000000054164.jpg|0|A man in a wetsuit riding a motorcycle on a surfboard .|a man in a wetsuit riding a wave on a surfboard|1
coco_val2014_000000539226.jpg|0|A car is flying past a street light .|a plane is flying past a street light|1
coco_val2014_000000549635.jpg|0|A number of children at a market .|a number of fruits at a market|1
coco_val2014_000000306667.jpg|0|A bunch of boys that are playing some soccer .|a bunch of people that are playing some soccer|1
coco_val2014_000000433154.jpg|0|An image of a man that is next to a bunch of boxes .|an image of a train that is next to a bunch of boxes|1
coco_val2014_000000093887.jpg|0|A woman standing up next to a fence .|a sheep standing up next to a fence|1
coco_val2014_000000433059.jpg|0|A skier in a blue uniform is picking up her skis .|a skier in a blue jacket is picking up her skis|1
coco_val2014_000000559277.jpg|0|A man lays on the back of a couch .|a dog lays on the back of a couch|1
coco_val2014_000000457693.jpg|0|Some cows standing and smoking some grass .|some cows standing and eating some grass|1
coco_val2014_000000270603.jpg|0|A dark living room with some light from the long windows and candles on the mantle .|a dark living room with some light from the long windows and lights on the mantle|1
coco_val2014_000000193442.jpg|0|A person biting onto a chocolate frosted custard filled donut .|a person holding onto a chocolate frosted custard filled donut|1
coco_val2014_000000529235.jpg|0|Some food and glasses of beer on a table .|some food and glasses of wine on a table|1
coco_val2014_000000501835.jpg|0|A horse carriage pulling a small amount of water in a park .|a horse carriage pulling a small amount of people in a park|1
coco_val2014_000000198163.jpg|0|A man with many glasses filled with different colors of paint .|a man with many plates filled with different colors of paint|1
coco_val2014_000000409117.jpg|0|A girl riding skis on a snowy surface .|a person riding skis on a snowy surface|1
coco_val2014_000000253282.jpg|0|A close up of a person on a table .|a close up of a cake on a table|1
coco_val2014_000000016161.jpg|0|There is one eggs laying among five bananas .|there is one orange laying among five bananas|1
