image_name|comment_number|comment|original|target
COCO_val2014_000000112928.jpg|0|A giant fire hydrant on top of a metal block .|a red fire hydrant on top of a cement block|1
COCO_val2014_000000366152.jpg|0|A blue vase with red roses sits on a windowsill .|a blue vase with yellow flowers sits on a windowsill|1
COCO_val2014_000000291655.jpg|0|Some colorful paintings sitting on shelves on the wall .|some colorful flowers sitting on vase on the wall|1
COCO_val2014_000000124279.jpg|0|Two males at a brown table two laptops and newspapers and glasses .|two males at a brown table two laptops and newspapers and glasses|0
COCO_val2014_000000509826.jpg|0|A man leanding over to touch the ground while riding his skateboard .|a man leanding over to touch the ground while riding his skateboard|0
COCO_val2014_000000291655.jpg|1|Some colorful paintings sitting on shelves on the wall .|some colorful flowers sitting on vase on the wall|1
COCO_val2014_000000054164.jpg|0|A dog that is walking on some water .|a man that is surfing on some water|1
COCO_val2014_000000120068.jpg|0|A red white and black plane parked inside a building .|a red white and black plane parked inside a building|0
COCO_val2014_000000281475.jpg|0|A girl and a guy are asleep on a bed hugging .|a girl and a dog are sitting on a bed hugging|1
COCO_val2014_000000020438.jpg|0|A brown and white dog sleeping on a bed with a blue comforter .|a brown and white dog sleeping on a bed with a blue comforter|0
COCO_val2014_000000142500.jpg|0|A hand holding a small bowl of broccoli .|a hand holding a huge stalk of broccoli|1
COCO_val2014_000000198915.jpg|0|A close up of a dollar map on a pole .|a close up of a street sign on a pole|1
COCO_val2014_000000322352.jpg|0|A dinner table with four chairs two potted plants a fireplace .|a dinner table with four chairs two potted plants a fireplace|0
COCO_val2014_000000090560.jpg|0|Four trains parked side by side in a train yard with people wallking bye .|two trains parked side by side in a train station with people wallking bye|1
COCO_val2014_000000026907.jpg|0|A man in a red dress with a baseball glove .|a kid in a yellow shirt with a baseball glove|1
COCO_val2014_000000463174.jpg|0|A tennis player swinging a racket at a ball .|a tennis player swinging a racket at a ball|0
COCO_val2014_000000456638.jpg|0|A guy with a huge uniform getting on a train .|a woman with a blue suitcase getting off a train|1
COCO_val2014_000000509826.jpg|1|A person riding a ski board at a car park .|a person riding a skate board at a skate park|1
COCO_val2014_000000241528.jpg|0|A shower with a sink and shower in front of it .|a bathroom with a sink and mirror in front of it|1
COCO_val2014_000000326284.jpg|0|A small child in a blue shirt with a float board in some water .|a small child in a blue shirt with a float board in some water|0
COCO_val2014_000000240742.jpg|0|Plated salad and toast with a side of coffee and water .|plated salad and toast with a side of coffee and water|0
COCO_val2014_000000166244.jpg|0|A computer desk with three monitors on it .|a computer desk with three monitors on it|0
COCO_val2014_000000248087.jpg|0|A yellow train drives down a hill with some cars on top of it .|a commuter bus drives down a street with some stuff on top of it|1
COCO_val2014_000000197775.jpg|0|A refrigerator with the front open and people in the back .|a van with the back open and appliances in the back|1
COCO_val2014_000000497031.jpg|0|Person writing wood with pen at a table .|person cutting paper with scissors at a table|1
COCO_val2014_000000444209.jpg|0|A yellow and brown parked motorcycle and some green parked bikes .|a white and black parked motorcycle and some other parked bikes|1
