image_name|comment_number|comment|original|target
3405100926.jpg|0| A snowboarder in red and black grinds a yellow rail .| A snowboarder in red and black grinds a yellow rail .|6
4833051916.jpg|0| A dog is on the grass shaking himself dry .| A dog is on the grass shaking himself dry .|4
5587932348.jpg|0| Three men weigh fish as they come off the boat on a scale by the coast .| Three men weigh fish as they come off the boat on a scale by the coast .|16
3467282545.jpg|0| Group of horse riders travel through the woods .| Group of horse riders travel through the woods .|9
7510394.jpg|0| A young boy is sitting on a fence with a platter of food on his head .| A young boy is sitting on a fence with a platter of food on his head .|15
6315316933.jpg|0| Two men are waiting at a hospital .| Two men are waiting at a hospital .|9
33703543.jpg|0| A woman smoking a cigarette talks to a woman in a black jacket .| A woman smoking a cigarette talks to a woman in a black jacket .|19
4329197704.jpg|0| Employees of a bagel shop making bagels .| Employees of a bagel shop making bagels .|16
257765654.jpg|0| A young kid is looking at a picture that someone drew in the wall .| A young kid is looking at a picture that someone drew in the wall .|4
3167365436.jpg|0| Many people are standing outside on a street filled with litter .| Many people are standing outside on a street filled with litter .|28
444051472.jpg|0| Three children are shown in the snow .| Three children are shown in the snow .|10
5585791618.jpg|0| A black woman making something .| A black woman making something .|7
7614857924.jpg|0| Woman facing curtained window and glass cleaner while holding a paper towel .| Woman facing curtained window and glass cleaner while holding a paper towel .|7
4895977486.jpg|0| Man in jersey with backwards black hat , woman walking by & a sign on the right .| Man in jersey with backwards black hat , woman walking by & a sign on the right .|13
261634569.jpg|0| a man holding a bottle of wine with a box on his head| a man holding a bottle of wine with a box on his head|8
6357591843.jpg|0| A man walking with a cane in front of a mural .| A man walking with a cane in front of a mural .|9
3728710345.jpg|0| A sun filled area with posters on the cement pillars .| A sun filled area with posters on the cement pillars .|14
4821901289.jpg|0| Two men are walking towards a building with a huge car painted on it .| Two men are walking towards a building with a huge car painted on it .|10
2872638234.jpg|0| A man is holding a blue candle .| A man is holding a blue candle .|8
2196316998.jpg|0| A small brown dog on a leash wearing a denim skirt .| A small brown dog on a leash wearing a denim skirt .|3
3496410435.jpg|0| People are walking around a picnic area that is covered in snow .| People are walking around a picnic area that is covered in snow .|14
260162669.jpg|0| A man is sitting at a table in a clothing store .| A man is sitting at a table in a clothing store .|15
2630948997.jpg|0| A man with a big red bowl is walking toward a brown donkey .| A man with a big red bowl is walking toward a brown donkey .|6
5621916498.jpg|0| A row of bikers wearing red and black .| A row of bikers wearing red and black .|39
1184340890.jpg|0| A person working in a market selling various items .| A person working in a market selling various items .|46
368881750.jpg|0| A young man doing a skateboard jump over concrete .| A young man doing a skateboard jump over concrete .|12
4705366381.jpg|0| A man squatting in a park looking at something in the distance .| A man squatting in a park looking at something in the distance .|10
5181862374.jpg|0| women waiting to get on the subway .| women waiting to get on the subway .|21
5152207388.jpg|0| A line of people are praying together in a church .| A line of people are praying together in a church .|27
5217482307.jpg|0| The three girls have pillows .| The three girls have pillows .|12
4696863473.jpg|0| Several dancers in candy cane dresses dancing .| Several dancers in candy cane dresses dancing .|15
2525898604.jpg|0| Two women sitting at a table in a cafe reading and working on a laptop computer .| Two women sitting at a table in a cafe reading and working on a laptop computer .|8
3666537170.jpg|0| A man drinks a purple liquid on a crowded street .| A man drinks a purple liquid on a crowded street .|11
2176776800.jpg|0| An Asian woman sits in front of a nude painting .| An Asian woman sits in front of a nude painting .|8
3064443326.jpg|0| Six people , four male and two female , hanging out in a living room .| Six people , four male and two female , hanging out in a living room .|8
3581818450.jpg|0| Concert in what seems to be a very small venue with a fair amount of people .| Concert in what seems to be a very small venue with a fair amount of people .|11
2834409892.jpg|0| Two men are talking , and the third man is talking on the phone and drinking wine .| Two men are talking , and the third man is talking on the phone and drinking wine .|12
4800150389.jpg|0| The journey is temporarily delayed by mechanical malfunctions .| The journey is temporarily delayed by mechanical malfunctions .|6
304450431.jpg|0| A little boy gives a thumbs up as he sits in the snow .| A little boy gives a thumbs up as he sits in the snow .|8
5440115287.jpg|0| Two military men and five men in suits all sit together at a table with menus .| Two military men and five men in suits all sit together at a table with menus .|34
3056569684.jpg|0| A girl is in a parking lot jumping rope .| A girl is in a parking lot jumping rope .|3
255073988.jpg|0| A group of children in costumes are on a stage with red curtains .| A group of children in costumes are on a stage with red curtains .|22
2350687181.jpg|0| two men and two women sitting on steps outdoors .| two men and two women sitting on steps outdoors .|12
5023361024.jpg|0| A boy in yellow shorts kicks a soccer ball in a basketball court .| A boy in yellow shorts kicks a soccer ball in a basketball court .|6
6555213067.jpg|0| A boy sitting behind the bushes .| A boy sitting behind the bushes .|9
3823369556.jpg|0| A large group of people gathered at night .| A large group of people gathered at night .|8
6303698580.jpg|0| A man in a black polo and khakis is giving a powerpoint presentation| A man in a black polo and khakis is giving a powerpoint presentation|6
3009520538.jpg|0| Some firefighters check a vehicle .| Some firefighters check a vehicle .|12
3504940491.jpg|0| Two men walk by a big picture of a mannequin wearing a safety vest and boots .| Two men walk by a big picture of a mannequin wearing a safety vest and boots .|11
294716517.jpg|0| a lone skier skiing down a snowy mountain on one ski .| a lone skier skiing down a snowy mountain on one ski .|6
2904129133.jpg|0| Three people stringing something across an expanse of sand .| Three people stringing something across an expanse of sand .|12
500290283.jpg|0| A group of youths sit on a staircase .| A group of youths sit on a staircase .|13
984092829.jpg|0| A distracted little boy waiting for his soccer game to begin .| A distracted little boy waiting for his soccer game to begin .|7
2987142183.jpg|0| a boy in a red hooded top is ice skating on an outdoor ice rink .| a boy in a red hooded top is ice skating on an outdoor ice rink .|3
154257460.jpg|0| A lady with a red shirt and backpack is balancing a blue tub on her head .| A lady with a red shirt and backpack is balancing a blue tub on her head .|7
4502968133.jpg|0| Boy in shorts , face down in shallow , reflective water .| Boy in shorts , face down in shallow , reflective water .|4
3103292929.jpg|0| A man has his carry-on and is looking at a list of flights at the airport .| A man has his carry-on and is looking at a list of flights at the airport .|6
3514194772.jpg|0| Little boy with flour on his face .| Little boy with flour on his face .|11
2865703567.jpg|0| Tourists are gathering in front of a historic building in winter .| Tourists are gathering in front of a historic building in winter .|29
3410215754.jpg|0| A large group of people are protesting something on a street-corner .| A large group of people are protesting something on a street-corner .|4
245133696.jpg|0| A keyboard player rocking out with a band in a white tank| A keyboard player rocking out with a band in a white tank|16
5633231430.jpg|0| Young boy sitting down outside and blowing bubbles .| Young boy sitting down outside and blowing bubbles .|9
4933865159.jpg|0| A couple at an outside cafe .| A couple at an outside cafe .|10
2252635585.jpg|0| A young child climbing a rock wall at a playground .| A young child climbing a rock wall at a playground .|2
