image_name|comment_number|comment|original|target
2266061169.jpg|0| A bald man in a kilt standing inside at a festival .| A bald man in a kilt standing outside at a festival .|1
2422635544.jpg|0| A man sits outside a dragster .| A man sits inside a dragster .|1
1001465944.jpg|0| A man sings into a microphone as another man plays electric bass behind him .| A man sings into a microphone as another man plays electric bass behind him .|0
2637670767.jpg|0| An airplane with a red tail is being examined by professionals inside a building .| An airplane with a red tail is being examined by professionals inside a building .|0
3378980591.jpg|0| A child plays inside a shopping cart that has been stacked with others to create a cage .| A child plays inside a shopping cart that has been stacked with others to create a cage .|0
1947255786.jpg|0| A gentleman is standing under a tent behind bowls of some kind of soup .| A gentleman is standing under a tent in front of bowls of some kind of soup .|1
3261712960.jpg|0| A man and a woman stand behind Stonehurst Elementary School holding signs which protest against ICE raids in California .| A man and a woman stand in front of Stonehurst Elementary School holding signs which protest against ICE raids in California .|1
3682428916.jpg|0| A girl stands in front of a boy in a swing .| A girl stands behind a boy in a swing .|1
3074265400.jpg|0| Several people are sitting inside a restaurant eating .| Several people are sitting inside a restaurant eating .|0
10956999.jpg|0| Picture of a band performing in front of fans , one on drums , three guitars and a keyboard player .| Picture of a band performing in front of fans , one on drums , three guitars and a keyboard player .|0
5326507136.jpg|0| Outside a theater at night .| Outside a theater at night .|0
6319053071.jpg|0| Two carnival workers stand in front of their stuffed animal prizes .| Two carnival workers stand in front of their stuffed animal prizes .|0
143680966.jpg|0| A man and woman at a table , the woman has a cup with drink in front of her .| A man and woman at a table , the woman has a cup with drink in front of her .|0
4448923515.jpg|0| The old grumpy man is buried at his desk and looks up just in time for the camera .| The old grumpy man is buried at his desk and looks up just in time for the camera .|0
3290025108.jpg|0| Elderly man with cane bends down to look at some plants and is steadied from behind .| Elderly man with cane bends down to look at some plants and is steadied from behind .|0
200278000.jpg|0| A woman with a black shirt and tan apron is standing behind a counter in a restaurant .| A woman with a black shirt and tan apron is standing behind a counter in a restaurant .|0
7430282012.jpg|0| Small children play outside a small yellow and blue tube .| Small children play inside a small yellow and blue tube .|1
4982224135.jpg|0| Five boys competing in a sport are wearing orange or blue are looking up with arms outstretched .| Five boys competing in a sport are wearing orange or blue are looking up with arms outstretched .|0
4074803780.jpg|0| Several children outside a gym .| Several children inside a gym .|1
2676648667.jpg|0| A mountain climber looks down from the summit| A mountain climber looks down from the summit|0
2651080346.jpg|0| Two individuals with their arms around each other walk down a marble-floored hallway with columns to the right side .| Two individuals with their arms around each other walk down a marble-floored hallway with columns to the right side .|0
2315973850.jpg|0| A woman holds a frozen pop sickle and keys in her left hand .| A woman holds a frozen pop sickle and keys in her right hand .|1
2074835945.jpg|0| A man wearing a white striped search jumps in the grass with the graffiti wall behind him .| A man wearing a white striped search jumps in the grass with the graffiti wall behind him .|0
2112921744.jpg|0| A group of people huddled together behind a yellow gate .| A group of people huddled together behind a yellow gate .|0
2908391335.jpg|0| A woman is grabbing a guy 's foot and putting it behind his head .| A woman is grabbing a guy 's foot and putting it behind his head .|0
2885861465.jpg|0| A woman dressed in a bikini looks down while laying in the sun .| A woman dressed in a bikini looks up while laying in the sun .|1
4399452054.jpg|0| Many people walk away from the camera down a cobblestone alley .| Many people walk away from the camera down a cobblestone alley .|0
2624457062.jpg|0| A couple walking at a gathering with a balloon in the air behind them .| A couple walking at a gathering with a balloon in the air behind them .|0
2298283771.jpg|0| Woman in blue jacket shows off her vintage car in front of Nathalie 's DollHouse .| Woman in blue jacket shows off her vintage car in front of Nathalie 's DollHouse .|0
2410618963.jpg|0| a man riding his skateboard outside jumping over an orange object .| a man riding his skateboard outside jumping over an orange object .|0
2774362575.jpg|0| A man laying in the grass in front of two small cabins and a mountain drinking a soda .| A man laying in the grass in front of two small cabins and a mountain drinking a soda .|0
230182039.jpg|0| An African woman walks away from grass looking huts in a village carrying a back in her left hand .| An African woman walks away from grass looking huts in a village carrying a back in her left hand .|0
2101426869.jpg|0| A small limousine is parked outside a large older structure .| A small limousine is parked outside a large older structure .|0
1572532018.jpg|0| One soccer player wearing a blue , Samsung sponsored jersey is stumbling over another falling soccer player wearing a red jersey .| One soccer player wearing a blue , Samsung sponsored jersey is stumbling over another falling soccer player wearing a red jersey .|0
4532518749.jpg|0| An older man and two kids are looking up .| An older man and two kids are looking down .|1
4493628129.jpg|0| Person standing at the bottom of an orange ladder .| Person standing at the top of an orange ladder .|1
1628398329.jpg|0| Three men in yellow shirts stand in front of a white railing .| Three men in yellow shirts stand behind a white railing .|1
2987588136.jpg|0| A man in a fluorescent orange vest and hard hat stands at the bottom of a yellow ladder fixing a telephone wire .| A man in a fluorescent orange vest and hard hat stands at the top of a yellow ladder fixing a telephone wire .|1
4196910318.jpg|0| A woman with her backpack sits on a large rock and looks up over the mountains .| A woman with her backpack sits on a large rock and looks down over the mountains .|1
3250981070.jpg|0| Two sets of children are practicing martial arts while a crowd watches in front of them .| Two sets of children are practicing martial arts while a crowd watches behind them .|1
3489084190.jpg|0| A youn woman on a man 's back walking down a cement path with another couple behind them holding hands .| A youn woman on a man 's back walking down a cement path with another couple behind them holding hands .|0
4107474314.jpg|0| A black-haired man drives a red Coca Cola truck down a highway , with tall green Palmettos on his left hand side .| A black-haired man drives a red Coca Cola truck down a highway , with tall green Palmettos on his right hand side .|1
165173293.jpg|0| Male in brown leather jacket and black slacks , looking down at his phone , leaning against a brown painted box .| Male in brown leather jacket and black slacks , looking down at his phone , leaning against a brown painted box .|0
4056514744.jpg|0| A petite woman in an apron smiles as she looks up at her turned over pan on a grill .| A petite woman in an apron smiles as she looks down at her turned over pan on a grill .|1
3516710738.jpg|0| A boy in an over-sized dress shirt sits inside a shop next to a pile of new sandals .| A boy in an over-sized dress shirt sits outside a shop next to a pile of new sandals .|1
611910909.jpg|0| A woman looking down while holding a tennis racket .| A woman looking down while holding a tennis racket .|0
2862676319.jpg|0| An older gentleman looking down at his beer .| An older gentleman looking down at his beer .|0
2191788665.jpg|0| Three adults sit at the front of a classroom while one woman stands in front of a desk .| Three adults sit at the front of a classroom while one woman stands behind a desk .|1
118939861.jpg|0| A tan dog stand in the snow and looks down .| A tan dog stand in the snow and looks up .|1
444057017.jpg|0| Two children and one young woman inside a straw hut , looking outwards .| Two children and one young woman inside a straw hut , looking outwards .|0
2780179669.jpg|0| A man playing a unique violin while looking down at the ceiling .| A man playing a unique violin while looking up at the ceiling .|1
1247181182.jpg|0| A man stands with his arms out inside a large green piece of equipment .| A man stands with his arms out inside a large green piece of equipment .|0
1398766312.jpg|0| A child holding a red toy hammer in left hand .| A child holding a red toy hammer in right hand .|1
3562050678.jpg|0| Man in jersey with backwards black hat , woman walking by & a sign on the left .| Man in jersey with backwards black hat , woman walking by & a sign on the right .|1
4974363190.jpg|0| A man in a blue plaid shirt looking down .| A man in a blue plaid shirt looking up .|1
4353702509.jpg|0|""" Woman in trench coat and purple scarf stands over an awning that says """" next to normal . """""""|""" Woman in trench coat and purple scarf stands under an awning that says """" next to normal . """""""|1
265528702.jpg|0| A woman wearing a green scarf on the beach kicks her leg up while a blond small dog stands behind her .| A woman wearing a green scarf on the beach kicks her leg up while a blond small dog stands behind her .|0
2000459828.jpg|0| Man with purple sweater at the bottom of a skateboard ramp .| Man with purple sweater at the top of a skateboard ramp .|1
185019676.jpg|0| Two women , the younger one is looking down , the older is drinking .| Two women , the younger one is looking down , the older is drinking .|0
1438632858.jpg|0| Chefs are gathered in the background and someone is under an open flame cooking meat .| Chefs are gathered in the background and someone is over an open flame cooking meat .|1
2572817235.jpg|0| A girl in a red and white outfit is standing outside a display with other holiday items .| A girl in a red and white outfit is standing inside a display with other holiday items .|1
2228361155.jpg|0| A man and a girl sit inside a floating tube in the water .| A man and a girl sit inside a floating tube in the water .|0
4717479637.jpg|0| A group of people waiting inside a fenced in area .| A group of people waiting outside a fenced in area .|1
5996795291.jpg|0| A homeless man is sleeping outside at the top of a staircase .| A homeless man is sleeping outside at the top of a staircase .|0
2212794589.jpg|0| A person stands in a snowy area looking up .| A person stands in a snowy area looking down .|1
7185642084.jpg|0| Three Arabian men sitting under an awning .| Three Arabian men sitting under an awning .|0
1874520584.jpg|0| A young man in a jean jacket smiles for the camera outside a store .| A young man in a jean jacket smiles for the camera inside a store .|1
3676788491.jpg|0| A lady is wearing a black shirt carrying an item in her right arm .| A lady is wearing a black shirt carrying an item in her right arm .|0
4584341152.jpg|0| Group of casually dressed people , walking away from a large sea vessel .| Group of casually dressed people , walking towards a large sea vessel .|1
2161273260.jpg|0| A person is hanging on to the bottom of an airplane preparing to skydive .| A person is hanging on to the bottom of an airplane preparing to skydive .|0
3687062281.jpg|0| The back of a woman wearing a white jacket with blue jeans walking away from a flock of birds .| The back of a woman wearing a white jacket with blue jeans walking towards a flock of birds .|1
4111392499.jpg|0| Two puppies inside a vehicle are watching a woman exit another vehicle close by .| Two puppies inside a vehicle are watching a woman exit another vehicle close by .|0
26690039.jpg|0| A blond child in a jacket is sitting at the top of a slide at a playground .| A blond child in a jacket is sitting at the top of a slide at a playground .|0
2422635080.jpg|0| A brown dog is running and looking down at the sky .| A brown dog is running and looking up at the sky .|1
4920749049.jpg|0| A woman with a backpack sitting outside a building with others .| A woman with a backpack sitting outside a building with others .|0
2217244400.jpg|0| This man in a red hat is sitting at the top of a mountain on a sunny day .| This man in a red hat is sitting at the top of a mountain on a sunny day .|0
2931721215.jpg|0| Boy in backpack crossing the street , Other people , all Asian , are all in crosswalk walking away from the boy .| Boy in backpack crossing the street , Other people , all Asian , are all in crosswalk walking towards the boy .|1
226697434.jpg|0| The dog jumps under an obstacle .| The dog jumps over an obstacle .|1
3528715437.jpg|0| A little boy sits in a black swing on a playground inside a school .| A little boy sits in a black swing on a playground outside a school .|1
4802006392.jpg|0| A woman at the beach is sitting over an umbrella .| A woman at the beach is sitting under an umbrella .|1
