image_name|comment_number|comment|original|target
coco_val2014_000000047191.jpg|0|A man flying a multi - colored kite on an almost deserted beach .|A man flying a multi - colored kite on an almost deserted beach .|1
coco_val2014_000000406841.jpg|0|A bed sits next to a window and a lamp|A bed sits next to a window and a lamp|10
coco_val2014_000000092624.jpg|0|Boats parked next to each other at the dock of the lake .|Boats parked next to each other at the dock of the lake .|6
coco_val2014_000000576085.jpg|0|A water buffalo with long horns standing in a wooded area behind a wire fence .|A water buffalo with long horns standing in a wooded area behind a wire fence .|10
coco_val2014_000000133648.jpg|0|A bunch of vegetables in a produce section|A bunch of vegetables in a produce section|15
coco_val2014_000000121849.jpg|0|A tennis player in a pink outfit about to play a match .|A tennis player in a pink outfit about to play a match .|2
coco_val2014_000000297220.jpg|0|An airplane on the tarmac and the glass passageway leading to its door|An airplane on the tarmac and the glass passageway leading to its door|2
coco_val2014_000000547798.jpg|0|A stop sign over a grassy area next to trees .|A stop sign over a grassy area next to trees .|17
coco_val2014_000000388812.jpg|0|A cat has fallen asleep on top of a luggage|A cat has fallen asleep on top of a luggage|1
coco_val2014_000000466789.jpg|0|A construction wall that has been used as a billboard .|A construction wall that has been used as a billboard .|3
coco_val2014_000000118065.jpg|0|Two people who are on snow hill wearing snowboards .|Two people who are on snow hill wearing snowboards .|15
coco_val2014_000000398454.jpg|0|A man taking a photograph of a commuter train at an outdoor station|A man taking a photograph of a commuter train at an outdoor station|0
coco_val2014_000000277174.jpg|0|Three starwars action figures playing in a blender .|Three starwars action figures playing in a blender .|14
coco_val2014_000000414744.jpg|0|A person trying to feed bread to a kitty cat .|A person trying to feed bread to a kitty cat .|10
coco_val2014_000000033882.jpg|0|Skateboarder on top of small structure with mosaic tiles .|Skateboarder on top of small structure with mosaic tiles .|2
coco_val2014_000000454750.jpg|0|A vintage looking white stove with multiple compartments .|A vintage looking white stove with multiple compartments .|2
coco_val2014_000000431431.jpg|0|A black horse is standing in the sand , with people in the background .|A black horse is standing in the sand , with people in the background .|3
coco_val2014_000000248631.jpg|0|A black and white photo of a dog standing happily on a horse .|A black and white photo of a dog standing happily on a horse .|2
coco_val2014_000000359436.jpg|0|A table that has a candle on it in a living room .|A table that has a candle on it in a living room .|5
coco_val2014_000000377352.jpg|0|A baby is sitting on the floor with a small cake in front of him .|A baby is sitting on the floor with a small cake in front of him .|8
coco_val2014_000000097465.jpg|0|Two elephants in an enclosure are looking at a fallen tree .|Two elephants in an enclosure are looking at a fallen tree .|4
coco_val2014_000000030706.jpg|0|A bench that is covered in snow during the winter|A bench that is covered in snow during the winter|5
coco_val2014_000000552942.jpg|0|Two people sit at a table and one has a dark shirt while the other a white shirt .|Two people sit at a table and one has a dark shirt while the other a white shirt .|1
coco_val2014_000000092059.jpg|0|A man holds a small child in his arms|A man holds a small child in his arms|12
coco_val2014_000000431370.jpg|0|A white plastic container filled with fruit and cakes .|A white plastic container filled with fruit and cakes .|4
coco_val2014_000000533816.jpg|0|"A group of bicyclists on the side of a road next to a bus that says "" every lane is a bike lane "" on it ' s bumper ."|"A group of bicyclists on the side of a road next to a bus that says "" every lane is a bike lane "" on it ' s bumper ."|15
coco_val2014_000000495533.jpg|0|A sign prohibiting something posted outside of a building .|A sign prohibiting something posted outside of a building .|31
coco_val2014_000000518916.jpg|0|A lemon dessert sitting on a wood table .|A lemon dessert sitting on a wood table .|23
coco_val2014_000000101068.jpg|0|An old cellphone on top of a table|An old cellphone on top of a table|2
coco_val2014_000000332067.jpg|0|There are many decorative umbrellas on the ceiling .|There are many decorative umbrellas on the ceiling .|3
coco_val2014_000000275999.jpg|0|Apples , bananas and pears in a white bowl .|Apples , bananas and pears in a white bowl .|3
coco_val2014_000000482242.jpg|0|A street sign sitting in the middle of a road .|A street sign sitting in the middle of a road .|17
coco_val2014_000000272718.jpg|0|A close - up of a cow ' s head with a ring through its nose .|A close - up of a cow ' s head with a ring through its nose .|2
coco_val2014_000000363577.jpg|0|There are several zebras walking around in the ground|There are several zebras walking around in the ground|4
coco_val2014_000000200451.jpg|0|A pair of horses trotting in a field .|A pair of horses trotting in a field .|23
coco_val2014_000000140785.jpg|0|A person is showing a dogs upper teeth .|A person is showing a dogs upper teeth .|5
coco_val2014_000000098523.jpg|0|A single zebra that is bent over eating grass .|A single zebra that is bent over eating grass .|7
coco_val2014_000000136941.jpg|0|A humble kitchen has a stove and microwave .|A humble kitchen has a stove and microwave .|11
coco_val2014_000000211425.jpg|0|A small baby is sleeping on assorted blankets .|A small baby is sleeping on assorted blankets .|15
coco_val2014_000000030012.jpg|0|A baseball batter with the bat over his shoulder waiting for a ball .|A baseball batter with the bat over his shoulder waiting for a ball .|1
coco_val2014_000000494072.jpg|0|A small bird walking on a sandy beach .|A small bird walking on a sandy beach .|1
coco_val2014_000000350884.jpg|0|A dog sticking it ' s head out of the passenger window .|A dog sticking it ' s head out of the passenger window .|6
coco_val2014_000000168162.jpg|0|A herd of cow standing around a field .|A herd of cow standing around a field .|3
coco_val2014_000000509766.jpg|0|Two white boats sit on a rocky shoreline .|Two white boats sit on a rocky shoreline .|19
coco_val2014_000000562818.jpg|0|A green , white and yellow garbage truck making it ' s rounds .|A green , white and yellow garbage truck making it ' s rounds .|24
coco_val2014_000000010205.jpg|0|A rusty old refrigerator standing in the woods during autumn|A rusty old refrigerator standing in the woods during autumn|10
coco_val2014_000000419119.jpg|0|A man sitting on a motorcycle posing in front of a bay .|A man sitting on a motorcycle posing in front of a bay .|5
