image_name|comment_number|comment|original|target
3094752171.jpg|0| Two guys next to a [MASK] billboard sign about chicken .| Two guys next to a green billboard sign about chicken .|green
4865845932.jpg|0| A man in [MASK] coveralls and a respirator is polishing a large , curved mirror .| A man in white coveralls and a respirator is polishing a large , curved mirror .|white
241347580.jpg|0| Two girls wearing [MASK] jerseys , each with long light brown hair , sit in the stands .| Two girls wearing red jerseys , each with long light brown hair , sit in the stands .|red
22764427.jpg|0| Two elderly people being interviewed by a camera crew standing near a [MASK] metallic van .| Two elderly people being interviewed by a camera crew standing near a green metallic van .|green
3930187102.jpg|0| A man is standing with his hands out to his side inside of a [MASK] sculpture .| A man is standing with his hands out to his side inside of a green sculpture .|green
2678171436.jpg|0| A man is seen from above through [MASK] leaves holding a shovel .| A man is seen from above through green leaves holding a shovel .|green
578910261.jpg|0| A woman in a [MASK] coat is cleaning the teeth of a child with a pink bib .| A woman in a blue coat is cleaning the teeth of a child with a pink bib .|blue
3821050211.jpg|0| A lady in a [MASK] tank top talks on her cellphone .| A lady in a black tank top talks on her cellphone .|black
2655267135.jpg|0| A working cutting a tree with an [MASK] vest on .| A working cutting a tree with an orange vest on .|orange
1483574454.jpg|0| man in orange shirt squatting and working on [MASK] bicycle .| man in orange shirt squatting and working on black bicycle .|black
3189485991.jpg|0| An asian man in a [MASK] jacket putting candles into a cake .| An asian man in a blue jacket putting candles into a cake .|blue
2906759254.jpg|0| The man wearing a [MASK] jacket is admiring artwork .| The man wearing a red jacket is admiring artwork .|red
4775815811.jpg|0| A wet girl wearing a [MASK] shirt and a necklace .| A wet girl wearing a white shirt and a necklace .|white
2073964624.jpg|0| A woman in a pink hat and a navy [MASK] coat riding a bicycle .| A woman in a pink hat and a navy blue coat riding a bicycle .|blue
4858070078.jpg|0| Man sitting by [MASK] doors .| Man sitting by blue doors .|blue
428258615.jpg|0| A boy with a [MASK] and white striped shirt is about to kick a pink soccer ball .| A boy with a black and white striped shirt is about to kick a pink soccer ball .|black
3393035454.jpg|0| Child in [MASK] and gray shirt jumping off hill in the woods| Child in blue and gray shirt jumping off hill in the woods|blue
4823937394.jpg|0| A woman wearing all [MASK] with blond-hair lying on a burgundy sofa .| A woman wearing all blue with blond-hair lying on a burgundy sofa .|blue
3475936747.jpg|0| One adult and three children paddle a canoe down a river lush with [MASK] vegetation .| One adult and three children paddle a canoe down a river lush with green vegetation .|green
2362068632.jpg|0| Girl in tan shirt and [MASK] pants jumping in the air .| Girl in tan shirt and black pants jumping in the air .|black
4564825449.jpg|0| Girl in a [MASK] jacket is eating a panini .| Girl in a blue jacket is eating a panini .|blue
4825821941.jpg|0| A group of young men are standing outside in front of a [MASK] wall .| A group of young men are standing outside in front of a blue wall .|blue
3801309708.jpg|0| A young blond-hai[MASK] boy in a white shirt and [MASK] pants running threw a park .| A young blond-haired boy in a white shirt and red pants running threw a park .|red
3642220260.jpg|0| A [MASK] dog walks along an ocean front .| A black dog walks along an ocean front .|black
2938996469.jpg|0| A man in a white shirt and [MASK] pants putting on gloves .| A man in a white shirt and black pants putting on gloves .|black
2477925561.jpg|0| A group of women is laughing while the women with [MASK] top is holding a green paper .| A group of women is laughing while the women with blue top is holding a green paper .|blue
3462454965.jpg|0| Three [MASK] dogs , two with tan markings , are running along grass .| Three black dogs , two with tan markings , are running along grass .|black
527288854.jpg|0| A person wearing a [MASK] helmet attempts to climb a rock .| A person wearing a yellow helmet attempts to climb a rock .|yellow
4144960305.jpg|0| Two hockey players , one in white and one in [MASK] , line up for the face-off .| Two hockey players , one in white and one in black , line up for the face-off .|black
2908512223.jpg|0| The little girl in the [MASK] dress and the pink boots strides down the sidewalk .| The little girl in the yellow dress and the pink boots strides down the sidewalk .|yellow
3069217945.jpg|0| Three men in [MASK] jackets stand at the base of a mountain .| Three men in blue jackets stand at the base of a mountain .|blue
2514667945.jpg|0| A boy in a [MASK] shirt is sitting on a couch with other people .| A boy in a blue shirt is sitting on a couch with other people .|blue
3655326478.jpg|0| There are four people and a dog jumping through a [MASK] , yellow , and white hole .| There are four people and a dog jumping through a black , yellow , and white hole .|black
3738551665.jpg|0| A man with a [MASK] cup in his hand talking to someone on the beach .| A man with a red cup in his hand talking to someone on the beach .|red
3424908564.jpg|0| A person with red-hair and a [MASK] shirt is standing outside , talking and gesturing with hands .| A person with red-hair and a black shirt is standing outside , talking and gesturing with hands .|black
2523934341.jpg|0| A person with an [MASK] scarf on their head standing on the corner .| A person with an orange scarf on their head standing on the corner .|orange
2137789511.jpg|0| A man rides a bike under a [MASK] and white sky .| A man rides a bike under a blue and white sky .|blue
2807228428.jpg|0| A man in a [MASK] ball cap and wearing no shirt working on a roof .| A man in a blue ball cap and wearing no shirt working on a roof .|blue
4458486019.jpg|0| A [MASK] New York cab drives past a woman with an umbrella .| A yellow New York cab drives past a woman with an umbrella .|yellow
6312211170.jpg|0| Soccer players in [MASK] and white fight for the ball in midair .| Soccer players in blue and white fight for the ball in midair .|blue
3088074124.jpg|0| an indian man in a [MASK] costume is talking to three women in colorful saris .| an indian man in a white costume is talking to three women in colorful saris .|white
3272541970.jpg|0| A kid in a [MASK] shirt and [MASK] hat and jeans skateboards down a ramp .| A kid in a white shirt and white hat and jeans skateboards down a ramp .|white
3648160673.jpg|0| A golden retriever jumps off of a [MASK] surfboard in the water .| A golden retriever jumps off of a blue surfboard in the water .|blue
2596293451.jpg|0| A man kneeling by a bright [MASK] kayak with several kayak and canoe business signs behind him .| A man kneeling by a bright red kayak with several kayak and canoe business signs behind him .|red
2346629210.jpg|0| A man in a brown coat and [MASK] tie walks on a street .| A man in a brown coat and green tie walks on a street .|green
23008408.jpg|0| A girl wearing a [MASK] jacket about to swing a tennis racket .| A girl wearing a white jacket about to swing a tennis racket .|white
522214663.jpg|0| A young girl in a [MASK] t-shirt is standing between two people dressed in costumes and smiling .| A young girl in a blue t-shirt is standing between two people dressed in costumes and smiling .|blue
7180539669.jpg|0| A painting of people standing outside of building underneath two trees looking towards a [MASK] light .| A painting of people standing outside of building underneath two trees looking towards a yellow light .|yellow
5925545184.jpg|0| Woman with long dress and apron hangs up [MASK] clothing .| Woman with long dress and apron hangs up white clothing .|white
2446009833.jpg|0| A woman is dressed in [MASK] and holding another woman 's hand .| A woman is dressed in white and holding another woman 's hand .|white
3138943319.jpg|0| A girl in a light [MASK] tank top pouring a bottle into somebody 's cup .| A girl in a light blue tank top pouring a bottle into somebody 's cup .|blue
944860697.jpg|0| A man with a black shirt operating a [MASK] vehicle .| A man with a black shirt operating a red vehicle .|red
7675416016.jpg|0| A group of cyclists ride in the rain along a road with a [MASK] BMW driving by .| A group of cyclists ride in the rain along a road with a red BMW driving by .|red
4491028316.jpg|0| A boy in [MASK] swimming trunks is jumping into the pool .| A boy in red swimming trunks is jumping into the pool .|red
2603334363.jpg|0| A small girl dressed in a [MASK] fairy costume is riding a big wheel bicycle .| A small girl dressed in a green fairy costume is riding a big wheel bicycle .|green
294241289.jpg|0| A man wearing an astro boy shirt and a [MASK] hat cleans a pool .| A man wearing an astro boy shirt and a green hat cleans a pool .|green
490044494.jpg|0| Three small puppies run through the [MASK] grass .| Three small puppies run through the green grass .|green
566397227.jpg|0| A child in a [MASK] shirt and brown pants is walking through an uncut field .| A child in a white shirt and brown pants is walking through an uncut field .|white
468604715.jpg|0| A [MASK] male is talking on a microphone .| A white male is talking on a microphone .|white
2181724497.jpg|0| A young girl sits in a highchair and eats [MASK] food while making a mess .| A young girl sits in a highchair and eats red food while making a mess .|red
