image_name|comment_number|comment|original|target
6436370499.jpg|0| A snowboarder in red and black grinds a yellow rail .| A snowboarder in red and black grinds a yellow rail .|6
2824922268.jpg|0| A dog is on the grass shaking himself dry .| A dog is on the grass shaking himself dry .|4
4345676156.jpg|0| Three men weigh fish as they come off the boat on a scale by the coast .| Three men weigh fish as they come off the boat on a scale by the coast .|16
531261613.jpg|0| Group of horse riders travel through the woods .| Group of horse riders travel through the woods .|9
2399665042.jpg|0| A young boy is sitting on a fence with a platter of food on his head .| A young boy is sitting on a fence with a platter of food on his head .|15
2897978268.jpg|0| Two men are waiting at a hospital .| Two men are waiting at a hospital .|9
4827589646.jpg|0| A woman smoking a cigarette talks to a woman in a black jacket .| A woman smoking a cigarette talks to a woman in a black jacket .|19
4725668536.jpg|0| Employees of a bagel shop making bagels .| Employees of a bagel shop making bagels .|16
4844407687.jpg|0| A young kid is looking at a picture that someone drew in the wall .| A young kid is looking at a picture that someone drew in the wall .|4
3430100177.jpg|0| Many people are standing outside on a street filled with litter .| Many people are standing outside on a street filled with litter .|28
3190677999.jpg|0| Three children are shown in the snow .| Three children are shown in the snow .|10
3983837245.jpg|0| A black woman making something .| A black woman making something .|7
2736264933.jpg|0| Woman facing curtained window and glass cleaner while holding a paper towel .| Woman facing curtained window and glass cleaner while holding a paper towel .|7
1889398867.jpg|0| Man in jersey with backwards black hat , woman walking by & a sign on the right .| Man in jersey with backwards black hat , woman walking by & a sign on the right .|13
462080147.jpg|0| a man holding a bottle of wine with a box on his head| a man holding a bottle of wine with a box on his head|8
4739381614.jpg|0| A man walking with a cane in front of a mural .| A man walking with a cane in front of a mural .|9
3666796674.jpg|0| A sun filled area with posters on the cement pillars .| A sun filled area with posters on the cement pillars .|14
3136404885.jpg|0| Two men are walking towards a building with a huge car painted on it .| Two men are walking towards a building with a huge car painted on it .|10
4851276955.jpg|0| A man is holding a blue candle .| A man is holding a blue candle .|8
4932067004.jpg|0| A small brown dog on a leash wearing a denim skirt .| A small brown dog on a leash wearing a denim skirt .|3
2194794307.jpg|0| People are walking around a picnic area that is covered in snow .| People are walking around a picnic area that is covered in snow .|14
388913235.jpg|0| A man is sitting at a table in a clothing store .| A man is sitting at a table in a clothing store .|15
3799884014.jpg|0| A man with a big red bowl is walking toward a brown donkey .| A man with a big red bowl is walking toward a brown donkey .|6
616564448.jpg|0| A row of bikers wearing red and black .| A row of bikers wearing red and black .|39
182503906.jpg|0| A person working in a market selling various items .| A person working in a market selling various items .|46
4922803624.jpg|0| A young man doing a skateboard jump over concrete .| A young man doing a skateboard jump over concrete .|12
