image_name|comment_number|comment|original|target
COCO_val2014_000000458387.jpg|0|A house that is out on the water .|a boat that is out on the water|1
COCO_val2014_000000198163.jpg|0|A man with many glasses filled with different colors of paint .|a man with many plates filled with different colors of paint|1
COCO_val2014_000000193442.jpg|0|A person biting onto a chocolate frosted custard filled donut .|a person holding onto a chocolate frosted custard filled donut|1
COCO_val2014_000000306667.jpg|0|A bunch of boys that are playing some soccer .|a bunch of people that are playing some soccer|1
COCO_val2014_000000507080.jpg|0|Some people sitting at an outdoor fountain and talking to each other .|some people sitting at an outdoor table and talking to each other|1
COCO_val2014_000000356261.jpg|0|White fence with saddle on overlooks a river .|white horse with saddle on overlooks a river|1
COCO_val2014_000000339253.jpg|0|A women that is carrying a green kite .|a women that is flying a green kite|1
COCO_val2014_000000549635.jpg|0|A number of children at a market .|a number of fruits at a market|1
COCO_val2014_000000276192.jpg|0|A close up of a knife on a pan on a table .|a close up of a pizza on a pan on a table|1
COCO_val2014_000000466229.jpg|0|A close up of a hand laying on a person .|a close up of a dog laying on a person|1
COCO_val2014_000000212853.jpg|0|A woman smiles as she holds a basket of food .|a woman smiles as she holds a plate of food|1
COCO_val2014_000000226008.jpg|0|Two people riding a see doo in the dark .|two people riding a see doo in the water|1
COCO_val2014_000000472623.jpg|0|A bicyclist performs a wheelie near a river shore .|a bicyclist performs a wheelie near a rocky shore|1
COCO_val2014_000000222009.jpg|0|A small crystal vase with red flowers .|a small blue vase with red flowers|1
COCO_val2014_000000475359.jpg|0|A blakc suitcase is sitting under a rug .|a blakc suitcase is sitting on a rug|1
COCO_val2014_000000417596.jpg|0|A couple of buildings that are next to a building .|a couple of benches that are next to a building|1
COCO_val2014_000000161060.jpg|0|A bag of doughnuts with some pictures over them .|a bunch of doughnuts with some pictures over them|1
COCO_val2014_000000151938.jpg|0|A guy holding an umbrella whiile standing by a counter .|a woman holding an umbrella whiile standing by a counter|1
COCO_val2014_000000562803.jpg|0|People carrying a child outside a wooden house .|people carrying a machine outside a wooden house|1
COCO_val2014_000000471446.jpg|0|A truck on a platform next to a van .|a truck on a street next to a van|1
COCO_val2014_000000103870.jpg|0|A woman holding something inside of a oven .|a man holding something inside of a oven|1
COCO_val2014_000000144932.jpg|0|A tub boat pulling a small boy through the water .|a tub boat pulling a small barge through the water|1
COCO_val2014_000000071673.jpg|0|A close up of a man laying on a napkin .|a close up of a cat laying on a napkin|1
COCO_val2014_000000345380.jpg|0|An image of a cat that is catching a frisbee .|an image of a dog that is catching a frisbee|1
COCO_val2014_000000501835.jpg|0|A couple of guys are pulling a carriage .|a couple of horses are pulling a carriage|1
COCO_val2014_000000522638.jpg|0|Two stuffed animals a dog and a monkey .|two stuffed animals a bear and a monkey|1
COCO_val2014_000000253282.jpg|0|A close up of a person on a table .|a close up of a cake on a table|1
COCO_val2014_000000016161.jpg|0|There is one eggs laying among five bananas .|there is one orange laying among five bananas|1
COCO_val2014_000000464633.jpg|0|A black horse eating grass in front of a wooden fence .|a large horse eating grass in front of a wooden fence|1
COCO_val2014_000000490964.jpg|0|A croissant on a plate near a lamp on a table .|a croissant on a plate near a beverage on a table|1
COCO_val2014_000000090560.jpg|0|Two red roses sitting next to each other on the tracks .|two red trains sitting next to each other on the tracks|1
COCO_val2014_000000494427.jpg|0|A large computer is turned on at a table .|a laptop computer is turned on at a table|1
COCO_val2014_000000002255.jpg|0|A close up of an elephant running near trees .|a close up of an elephant walking near trees|1
COCO_val2014_000000208793.jpg|0|A woman has her picture taken while in the woods .|a woman has her picture taken while in the restaurant|1
COCO_val2014_000000240915.jpg|0|A close up of an open space on a a fence .|a close up of an open umbrella on a a fence|1
COCO_val2014_000000217301.jpg|0|There is a platform at the top of this building .|there is a clock at the top of this building|1
COCO_val2014_000000040821.jpg|0|A child letting a cellphone rest on her face .|a woman letting a cellphone rest on her face|1
COCO_val2014_000000230661.jpg|0|An orange fire truck on a city street .|an orange business truck on a city street|1
COCO_val2014_000000150347.jpg|0|A close up of a neatly made hotel with two night stands .|a close up of a neatly made bed with two night stands|1
COCO_val2014_000000287967.jpg|0|A traffic light at an airport a dusk .|a traffic light at an intersection a dusk|1
COCO_val2014_000000508303.jpg|0|A person holding onto a fully eaten donut hole .|a person holding onto a partially eaten donut hole|1
COCO_val2014_000000413900.jpg|0|A bunch of people play some card games .|a bunch of people play some video games|1
COCO_val2014_000000532043.jpg|0|A woman standing on some gravel near some mountains .|a cow standing on some gravel near some mountains|1
COCO_val2014_000000402992.jpg|0|A pair of cows lay down on some grass .|a herd of cows lay down on some grass|1
COCO_val2014_000000501835.jpg|1|A horse carriage pulling a small amount of water in a park .|a horse carriage pulling a small amount of people in a park|1
COCO_val2014_000000049473.jpg|0|A green book with flowers and a calendar sitting on a table .|a green vase with flowers and a calendar sitting on a table|1
COCO_val2014_000000476491.jpg|0|An alley between two hills with a sky in the background .|an alley between two buildings with a sky in the background|1
COCO_val2014_000000560227.jpg|0|A girl that is taking a shower in his clothes .|a man that is taking a shower in his clothes|1
COCO_val2014_000000338986.jpg|0|A group of people next to a train .|a group of cars next to a train|1
COCO_val2014_000000248087.jpg|0|A green flag with peoples belongings on top .|a green bus with peoples belongings on top|1
COCO_val2014_000000120099.jpg|0|A cat on a sofa behind a man sitting at his desk .|a cat on a chair behind a man sitting at his desk|1
COCO_val2014_000000559277.jpg|0|A man lays on the back of a couch .|a dog lays on the back of a couch|1
COCO_val2014_000000376793.jpg|0|A soldier is laying down near a set of steps .|a person is laying down near a set of steps|1
COCO_val2014_000000058174.jpg|0|People dance while city buses pass by on the street .|people standing while city buses pass by on the street|1
COCO_val2014_000000027517.jpg|0|A couple sitting in front of a computer monitor looking at their cellphone .|a person sitting in front of a computer monitor looking at their cellphone|1
COCO_val2014_000000529235.jpg|0|Some food and glasses of beer on a table .|some food and glasses of wine on a table|1
COCO_val2014_000000448078.jpg|0|A couple police vehicles are driving down the street .|a couple of vehicles are driving down the street|1
COCO_val2014_000000000474.jpg|0|A baseball player with a bat in a field .|a baseball player with a glove in a field|1
COCO_val2014_000000560222.jpg|0|A busy street with buses and trucks down it .|a busy street with cars and trucks down it|1
COCO_val2014_000000161060.jpg|1|A box of donuts placed around some photos .|a bunch of donuts placed around some photos|1
COCO_val2014_000000206878.jpg|0|A close up view of two doughnuts sprinkled with sugar .|a close up view of three doughnuts sprinkled with sugar|1
COCO_val2014_000000404263.jpg|0|A horse riding a dirtbike on the beach .|a man riding a dirtbike on the beach|1
COCO_val2014_000000056433.jpg|0|A baby crying while fighting with a black laptop .|a baby crying while playing with a black laptop|1
COCO_val2014_000000496680.jpg|0|A big blue van that is parked next to some cars .|a big blue bus that is parked next to some cars|1
