image_name|comment_number|comment|original|target
4166168198.jpg|0| Two guys next to a [MASK] billboard sign about chicken .| Two guys next to a green billboard sign about chicken .|green
4963234016.jpg|0| A man in [MASK] coveralls and a respirator is polishing a large , curved mirror .| A man in white coveralls and a respirator is polishing a large , curved mirror .|white
3591461782.jpg|0| Two girls wearing [MASK] jerseys , each with long light brown hair , sit in the stands .| Two girls wearing red jerseys , each with long light brown hair , sit in the stands .|red
4895859008.jpg|0| Two elderly people being interviewed by a camera crew standing near a [MASK] metallic van .| Two elderly people being interviewed by a camera crew standing near a green metallic van .|green
7670346004.jpg|0| A man is standing with his hands out to his side inside of a [MASK] sculpture .| A man is standing with his hands out to his side inside of a green sculpture .|green
4116166193.jpg|0| A man is seen from above through [MASK] leaves holding a shovel .| A man is seen from above through green leaves holding a shovel .|green
2482629385.jpg|0| A woman in a [MASK] coat is cleaning the teeth of a child with a pink bib .| A woman in a blue coat is cleaning the teeth of a child with a pink bib .|blue
7057098661.jpg|0| A lady in a [MASK] tank top talks on her cellphone .| A lady in a black tank top talks on her cellphone .|black
2273028514.jpg|0| A working cutting a tree with an [MASK] vest on .| A working cutting a tree with an orange vest on .|orange
3578068665.jpg|0| man in orange shirt squatting and working on [MASK] bicycle .| man in orange shirt squatting and working on black bicycle .|black
4095536845.jpg|0| An asian man in a [MASK] jacket putting candles into a cake .| An asian man in a blue jacket putting candles into a cake .|blue
228822815.jpg|0| The man wearing a [MASK] jacket is admiring artwork .| The man wearing a red jacket is admiring artwork .|red
4479282254.jpg|0| A wet girl wearing a [MASK] shirt and a necklace .| A wet girl wearing a white shirt and a necklace .|white
1501811302.jpg|0| A woman in a pink hat and a navy [MASK] coat riding a bicycle .| A woman in a pink hat and a navy blue coat riding a bicycle .|blue
2197587684.jpg|0| Man sitting by [MASK] doors .| Man sitting by blue doors .|blue
187245342.jpg|0| A boy with a [MASK] and white striped shirt is about to kick a pink soccer ball .| A boy with a black and white striped shirt is about to kick a pink soccer ball .|black
3539447637.jpg|0| Child in [MASK] and gray shirt jumping off hill in the woods| Child in blue and gray shirt jumping off hill in the woods|blue
97162852.jpg|0| A woman wearing all [MASK] with blond-hair lying on a burgundy sofa .| A woman wearing all blue with blond-hair lying on a burgundy sofa .|blue
6319098573.jpg|0| One adult and three children paddle a canoe down a river lush with [MASK] vegetation .| One adult and three children paddle a canoe down a river lush with green vegetation .|green
7758244914.jpg|0| Girl in tan shirt and [MASK] pants jumping in the air .| Girl in tan shirt and black pants jumping in the air .|black
2401201668.jpg|0| Girl in a [MASK] jacket is eating a panini .| Girl in a blue jacket is eating a panini .|blue
241347664.jpg|0| A group of young men are standing outside in front of a [MASK] wall .| A group of young men are standing outside in front of a blue wall .|blue
6888444346.jpg|0| A young blond-hai[MASK] boy in a white shirt and [MASK] pants running threw a park .| A young blond-haired boy in a white shirt and red pants running threw a park .|red
2834752476.jpg|0| A [MASK] dog walks along an ocean front .| A black dog walks along an ocean front .|black
4950416860.jpg|0| A man in a white shirt and [MASK] pants putting on gloves .| A man in a white shirt and black pants putting on gloves .|black
3080056515.jpg|0| A group of women is laughing while the women with [MASK] top is holding a green paper .| A group of women is laughing while the women with blue top is holding a green paper .|blue
2913727742.jpg|0| Three [MASK] dogs , two with tan markings , are running along grass .| Three black dogs , two with tan markings , are running along grass .|black
5057010159.jpg|0| A person wearing a [MASK] helmet attempts to climb a rock .| A person wearing a yellow helmet attempts to climb a rock .|yellow
4515663265.jpg|0| Two hockey players , one in white and one in [MASK] , line up for the face-off .| Two hockey players , one in white and one in black , line up for the face-off .|black
4835303999.jpg|0| The little girl in the [MASK] dress and the pink boots strides down the sidewalk .| The little girl in the yellow dress and the pink boots strides down the sidewalk .|yellow
385835044.jpg|0| Three men in [MASK] jackets stand at the base of a mountain .| Three men in blue jackets stand at the base of a mountain .|blue
4845816601.jpg|0| A boy in a [MASK] shirt is sitting on a couch with other people .| A boy in a blue shirt is sitting on a couch with other people .|blue
