image_name|comment_number|comment|original|target
3893021168.jpg|0| A boxer in red lands a glancing blow off of a boxer in white .| A boxer in red lands a glancing blow off of a boxer in white .|0
2391035976.jpg|0| A dog running through the water right toward the camera .| A dog running through the water right toward the camera .|0
2322046574.jpg|0| A man in a gray suit is in talking front of a microphone .| A man in a gray suit is talking in front of a microphone .|1
2460797929.jpg|0| A local musician up on , stage playing guitar .| A local musician up on stage , playing guitar .|1
257713504.jpg|0| A person hangs from ropes high in the air next to a building .| A person hangs from ropes high in the air next to a building .|0
3253060519.jpg|0| Three in men a band playing musical instruments .| Three men in a band playing musical instruments .|1
484500945.jpg|0| A in man a collared shirt holds an unwrapped Christmas gift .| A man in a collared shirt holds an unwrapped Christmas gift .|1
1001773457.jpg|0| Three women in elaborate costumes hold up "" I Love You "" cards .| Three women in elaborate costumes hold up "" I Love You "" cards .|0
3371919733.jpg|0| A bearded man wearing a bandanna pointing is his finger whilst riding a bicycle .| A bearded man wearing a bandanna is pointing his finger whilst riding a bicycle .|1
981727078.jpg|0| The girls play in the pumpkin patch .| The girls play in the pumpkin patch .|0
3723840426.jpg|0| People at relaxing the park .| People relaxing at the park .|1
1395410911.jpg|0| A skateboarder is doing trick a off of a ramp while a guy looks on .| A skateboarder is doing a trick off of a ramp while a guy looks on .|1
1440024115.jpg|0| Two men in army-colored uniforms sawing a piece of wood on a construction site .| Two men in army-colored uniforms sawing a piece of wood on a construction site .|0
6888808971.jpg|0| Five people are wading and swimming at the edge a of river or lake .| Five people are wading and swimming at the edge of a river or lake .|1
4691117837.jpg|0| A man jean in shorts is plugging a cord into a wall .| A man in jean shorts is plugging a cord into a wall .|1
4966813714.jpg|0| Recovery scuba divers on a boat heading to a scene .| Recovery scuba divers on a boat heading to a scene .|0
4058154906.jpg|0| Female looking at male while male away looks .| Female looking at male while male looks away .|1
2393196444.jpg|0| The man in the yellow hard hat standing is there in an orange life vest .| The man in the yellow hard hat is standing there in an orange life vest .|1
4509790721.jpg|0| A singer performs on stage at a concert .| A singer performs on stage at a concert .|0
5192912743.jpg|0| Three men eating food on a couch .| Three men eating food on a couch .|0
2341080150.jpg|0| A pair of office workers diligently are performing their tasks on messy desks .| A pair of office workers are diligently performing their tasks on messy desks .|1
111537222.jpg|0| Man riding a motorcycle on a road with pieces of cars on the side of the road .| Man riding a motorcycle on a road with pieces of cars on the side of the road .|0
4564825449.jpg|0| Two baseball players shake hands .| Two baseball players shake hands .|0
1338523142.jpg|0| A man walks close to a construction zone is that clearly marked .| A man walks close to a construction zone that is clearly marked .|1
4166073903.jpg|0| Three young men wearing shorts or swimsuits are playing on a beach during a sunset| Three young men wearing shorts or swimsuits are playing on a beach during a sunset|0
5403970454.jpg|0| A middle-aged man taking a rest after trapeze his act in the circus .| A middle-aged man taking a rest after his trapeze act in the circus .|1
4334332560.jpg|0| A group of pedestrians using are a crosswalk in a city .| A group of pedestrians are using a crosswalk in a city .|1
4493008657.jpg|0| A little boy is a watching woman .| A little boy is watching a woman .|1
7345191578.jpg|0| little watching boy working man outside his home| little boy watching working man outside his home|1
2130203183.jpg|0| A standing woman in a group of people in an office like setting .| A woman standing in a group of people in an office like setting .|1
4705552913.jpg|0| A teenage boy does tricks on his skateboard in an area with much graffiti .| A teenage boy does tricks on his skateboard in an area with much graffiti .|0
4764047623.jpg|0| A man in a blue pin striped shirt waiting his for food that he has ordered .| A man in a blue pin striped shirt waiting for his food that he has ordered .|1
4480643343.jpg|0| Several people trying are to climb a ladder in a tree .| Several people are trying to climb a ladder in a tree .|1
3071144200.jpg|0| A man behind an old fashioned bank teller desk holds a pencil and smiles .| A man behind an old fashioned bank teller desk holds a pencil and smiles .|0
466649201.jpg|0| An elderly woman , man a and a woman standing on a sidewalk together .| An elderly woman , a man and a woman standing on a sidewalk together .|1
5455437647.jpg|0| Two men dressed in matching blue uniforms , celebrate a victory .| Two men dressed in matching blue uniforms , celebrate a victory .|0
3759993037.jpg|0| A young girl wearing pink a hat and young boy wearing a dark shirt are eating cake .| A young girl wearing a pink hat and young boy wearing a dark shirt are eating cake .|1
6964979447.jpg|0| A group of men are standing on wooded pier as the sun sets .| A group of men are standing on wooded pier as the sun sets .|0
