image_name|comment_number|comment|original|target
363056425.jpg|0| A large group of people are gathering in a street type market for flowers .| A large group of people are gathering in a street type market for flowers .|0
2258662398.jpg|0| A kid on a surfboard riding a big wave .| A kid on a surfboard riding a small wave .|1
4704083135.jpg|0| A woman with long black hair is dancing in a voluminous white dress .| A woman with long black hair is dancing in a voluminous white dress .|0
3407357681.jpg|0| A dog is running in a large body of water causing it to splash .| A dog is running in a large body of water causing it to splash .|0
4373933959.jpg|0| A small crowd of people are in a park during winter .| A large crowd of people are in a park during winter .|1
4869820954.jpg|0| Two people in striped work uniforms sit at a long table , one of them resting his head on his arms .| Two people in striped work uniforms sit at a small table , one of them resting his head on his arms .|1
2428086758.jpg|0| A little brown dog sniffs a smaller dog in the gravel beside a body of water .| A big brown dog sniffs a smaller dog in the gravel beside a body of water .|1
4521546708.jpg|0| A large brown and white dog looks in the window of Driggs Pizza .| A small brown and white dog looks in the window of Driggs Pizza .|1
4890344819.jpg|0| A small crowd of people gathered together watching activity occurring in front of them .| A small crowd of people gathered together watching activity occurring in front of them .|0
6493393907.jpg|0| a surfer about to catch a big wave .| a surfer about to catch a big wave .|0
1131155939.jpg|0| A pile of seaweed sits on the sand , behind it a big black dog is running in the water .| A pile of seaweed sits on the sand , behind it a big black dog is running in the water .|0
998845445.jpg|0| A man riding a large boat in a harbor , with fog and mountains in the background .| A man riding a small boat in a harbor , with fog and mountains in the background .|1
137422713.jpg|0|""" A large group of protesters sitting in front of a sign reading """" We are demanding """" ."""|""" A large group of protesters sitting in front of a sign reading """" We are demanding """" ."""|0
313342543.jpg|0| A man in sunglasses clapping his hands in front of a large group of young people surrounding him .| A man in sunglasses clapping his hands in front of a large group of young people surrounding him .|0
3701544312.jpg|0| Three people are mountain climbing and the lady in front has long hair .| Three people are mountain climbing and the lady in front has long hair .|0
111811048.jpg|0| A man is standing on top of a tall building that overlooks the city .| A man is standing on top of a tall building that overlooks the city .|0
2985509443.jpg|0| A short wall painting within a library .| A large wall painting within a library .|1
2445783904.jpg|0| The small brown dog with the red collar is in the grass .| The large brown dog with the red collar is in the grass .|1
2888520501.jpg|0| A man working on a large piece of equipment .| A man working on a large piece of equipment .|0
3173928684.jpg|0| Two small white dogs are fighting in the grass .| Two large white dogs are fighting in the grass .|1
2410320522.jpg|0| A big dog holds its paw out to keep another dog at bay .| A big dog holds its paw out to keep another dog at bay .|0
3476902807.jpg|0| Small roadside kiosk with attendant sitting in a green shirt and pale yellow hat .| Small roadside kiosk with attendant sitting in a green shirt and pale yellow hat .|0
4587229099.jpg|0| A small group of blond-hair women sitting on benches outdoors outside a Starbuck 's coffee shop on a nice-weather day .| A small group of blond-hair women sitting on benches outdoors outside a Starbuck 's coffee shop on a nice-weather day .|0
551315867.jpg|0| Two men standing in a crane lift next to several small trees .| Two men standing in a crane lift next to several tall trees .|1
4611354093.jpg|0| A woman in sunglasses and a long skirt stands on a street filled with smoke or fog .| A woman in sunglasses and a short skirt stands on a street filled with smoke or fog .|1
