image_name|comment_number|comment|original|target
5404607703.jpg|0| A boxer in red lands a glancing blow off of a boxer in white .| A boxer in red lands a glancing blow off of a boxer in white .|0
2369248869.jpg|0| A dog running through the water right toward the camera .| A dog running through the water right toward the camera .|0
2366306683.jpg|0| A man in a gray suit is in talking front of a microphone .| A man in a gray suit is talking in front of a microphone .|1
308539953.jpg|0| A local musician up on , stage playing guitar .| A local musician up on stage , playing guitar .|1
3632225464.jpg|0| A person hangs from ropes high in the air next to a building .| A person hangs from ropes high in the air next to a building .|0
3232734391.jpg|0| Three in men a band playing musical instruments .| Three men in a band playing musical instruments .|1
3086848252.jpg|0| A in man a collared shirt holds an unwrapped Christmas gift .| A man in a collared shirt holds an unwrapped Christmas gift .|1
3587449716.jpg|0| Three women in elaborate costumes hold up "" I Love You "" cards .| Three women in elaborate costumes hold up "" I Love You "" cards .|0
2192411521.jpg|0| A bearded man wearing a bandanna pointing is his finger whilst riding a bicycle .| A bearded man wearing a bandanna is pointing his finger whilst riding a bicycle .|1
1563731247.jpg|0| The girls play in the pumpkin patch .| The girls play in the pumpkin patch .|0
952457689.jpg|0| People at relaxing the park .| People relaxing at the park .|1
3064097919.jpg|0| A skateboarder is doing trick a off of a ramp while a guy looks on .| A skateboarder is doing a trick off of a ramp while a guy looks on .|1
5761090545.jpg|0| Two men in army-colored uniforms sawing a piece of wood on a construction site .| Two men in army-colored uniforms sawing a piece of wood on a construction site .|0
2802477687.jpg|0| Five people are wading and swimming at the edge a of river or lake .| Five people are wading and swimming at the edge of a river or lake .|1
19570587.jpg|0| A man jean in shorts is plugging a cord into a wall .| A man in jean shorts is plugging a cord into a wall .|1
5696549500.jpg|0| Recovery scuba divers on a boat heading to a scene .| Recovery scuba divers on a boat heading to a scene .|0
4980149155.jpg|0| Female looking at male while male away looks .| Female looking at male while male looks away .|1
3002915726.jpg|0| The man in the yellow hard hat standing is there in an orange life vest .| The man in the yellow hard hat is standing there in an orange life vest .|1
4107979730.jpg|0| A singer performs on stage at a concert .| A singer performs on stage at a concert .|0
366315886.jpg|0| Three men eating food on a couch .| Three men eating food on a couch .|0
5266810229.jpg|0| A pair of office workers diligently are performing their tasks on messy desks .| A pair of office workers are diligently performing their tasks on messy desks .|1
