image_name|comment_number|comment|original|target
COCO_val2014_000000444502.jpg|0|A catcher in uniform walking across the baseball field .|A catcher in uniform walking across the baseball field .|5
COCO_val2014_000000248087.jpg|0|A green bus loaded with a lot of items on the top .|A green bus loaded with a lot of items on the top .|1
COCO_val2014_000000218844.jpg|0|A coffee maker and microwave in a room .|A coffee maker and microwave in a room .|1
COCO_val2014_000000262509.jpg|0|A small boat sits on the water next to a city .|A small boat sits on the water next to a city .|17
COCO_val2014_000000413616.jpg|0|A dog that is in the grass with a frisbee .|A dog that is in the grass with a frisbee .|2
COCO_val2014_000000209763.jpg|0|Statue of ghandi that people put a lei and a teddy bear on .|Statue of ghandi that people put a lei and a teddy bear on .|14
COCO_val2014_000000360209.jpg|0|A plate full of food accompanied by a glass of wine .|A plate full of food accompanied by a glass of wine .|9
COCO_val2014_000000089765.jpg|0|Finely chopped vegetables in a sauce pan on a burner .|Finely chopped vegetables in a sauce pan on a burner .|16
COCO_val2014_000000507080.jpg|0|Two women who are sitting at a table outside talking .|Two women who are sitting at a table outside talking .|22
COCO_val2014_000000339253.jpg|0|A girl is flying a kite on a clear day .|A girl is flying a kite on a clear day .|2
COCO_val2014_000000196378.jpg|0|Girls posing of a picture one holding a tennis racket the other wearing a crown .|Girls posing of a picture one holding a tennis racket the other wearing a crown .|3
COCO_val2014_000000544481.jpg|0|A giraffe bending over in tall grass by some trees .|A giraffe bending over in tall grass by some trees .|1
COCO_val2014_000000464526.jpg|0|A woman standing in a room with a remote .|A woman standing in a room with a remote .|5
COCO_val2014_000000182805.jpg|0|A photo of a woman sitting with two dogs .|A photo of a woman sitting with two dogs .|5
COCO_val2014_000000367116.jpg|0|Two men in their pajamas standing in a room|Two men in their pajamas standing in a room|14
COCO_val2014_000000521550.jpg|0|A harbor that has a large number of boats docked .|A harbor that has a large number of boats docked .|14
COCO_val2014_000000570848.jpg|0|The tennis player is holding her racket and smiling .|The tennis player is holding her racket and smiling .|18
COCO_val2014_000000138040.jpg|0|A small parking lot in the middle of a forest feild|A small parking lot in the middle of a forest feild|6
COCO_val2014_000000285451.jpg|0|A man with glasses smiles as he holds a cell phone .|A man with glasses smiles as he holds a cell phone .|4
COCO_val2014_000000158583.jpg|0|A skater is doing stunts on a skate board .|A skater is doing stunts on a skate board .|7
COCO_val2014_000000299987.jpg|0|A messy desk has a computer and a bottle of gatorade .|A messy desk has a computer and a bottle of gatorade .|10
COCO_val2014_000000147921.jpg|0|A beach front with a yacht in the background .|A beach front with a yacht in the background .|14
COCO_val2014_000000489305.jpg|0|A fruit salad that includes a variety of fruit .|A fruit salad that includes a variety of fruit .|8
COCO_val2014_000000552573.jpg|0|A man sitting in the water with a umbrella being severally splashed .|A man sitting in the water with a umbrella being severally splashed .|2
COCO_val2014_000000347936.jpg|0|A tabletop is full of homemeade desserts and they look appetizing .|A tabletop is full of homemeade desserts and they look appetizing .|14
COCO_val2014_000000093116.jpg|0|A bathroom with a toilet and a sink|A bathroom with a toilet and a sink|4
COCO_val2014_000000557396.jpg|0|A man skates down a ramp painted with graffiti .|A man skates down a ramp painted with graffiti .|2
COCO_val2014_000000265719.jpg|0|A man eating food in an office with plastic cutlery|A man eating food in an office with plastic cutlery|6
COCO_val2014_000000378502.jpg|0|A man riding on the back of a motorcycle behind a red car .|A man riding on the back of a motorcycle behind a red car .|10
COCO_val2014_000000354744.jpg|0|An abandoned boat sitting on the edge of the beach|An abandoned boat sitting on the edge of the beach|1
COCO_val2014_000000338325.jpg|0|An airplane is ascending into the white sky|An airplane is ascending into the white sky|1
COCO_val2014_000000180366.jpg|0|A close up of a person eating a hot dog|A close up of a person eating a hot dog|3
COCO_val2014_000000167131.jpg|0|Some broccoli and shredded carrots sitting on a cutting board with a knife|Some broccoli and shredded carrots sitting on a cutting board with a knife|3
COCO_val2014_000000434672.jpg|0|A dressed teddy bear sitting on a bed reading a book .|A dressed teddy bear sitting on a bed reading a book .|3
COCO_val2014_000000209864.jpg|0|Someone sitting on a rock with an umbrella in their hand|Someone sitting on a rock with an umbrella in their hand|3
COCO_val2014_000000547435.jpg|0|"An intersection with a sign reading "" center of the universe """|"An intersection with a sign reading "" center of the universe """|6
COCO_val2014_000000311883.jpg|0|A large long train on a steel track .|A large long train on a steel track .|7
COCO_val2014_000000327701.jpg|0|A woman is playing tennis with her children .|A woman is playing tennis with her children .|8
COCO_val2014_000000364884.jpg|0|A half pipe snowboarder performing tricks in a show .|A half pipe snowboarder performing tricks in a show .|15
COCO_val2014_000000167700.jpg|0|A stainless steel toilet in a small bathroom area .|A stainless steel toilet in a small bathroom area .|1
COCO_val2014_000000184613.jpg|0|A child holding a flowered umbrella and petting a yak .|A child holding a flowered umbrella and petting a yak .|24
